epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.608,1.93255,3.25844,1.76303,0.33893,0.26899,0.1944,0.09306,1.85443,3.42924,1.93989,0.0672683,0.000330623,0.000330623
2,126.519,1.84139,2.47743,1.70029,0.37751,0.45208,0.34761,0.15174,1.92303,2.62443,1.83423,0.0342682,0.000663885,0.000663885
3,167.423,1.8306,2.30824,1.6748,0.49594,0.42087,0.4492,0.21817,1.82485,2.02176,1.74175,0.00126786,0.000996857,0.000996857
4,208.546,1.79729,2.20133,1.6522,0.43016,0.45553,0.40959,0.18648,1.85737,2.28758,1.72186,0.000999023,0.000999023,0.000999023
5,248.657,1.79176,2.10787,1.64135,0.41573,0.55654,0.48313,0.22186,1.87879,1.85637,1.7412,0.000998264,0.000998264,0.000998264
6,289.033,1.76912,2.11362,1.64666,0.55181,0.55787,0.5357,0.26334,1.72372,1.8189,1.64622,0.000997288,0.000997288,0.000997288
7,328.633,1.73609,1.9952,1.61749,0.50231,0.5946,0.55093,0.2761,1.73425,1.70498,1.65275,0.000996097,0.000996097,0.000996097
8,368.768,1.72285,1.96191,1.60923,0.55462,0.5905,0.55195,0.27607,1.70197,1.58108,1.59989,0.00099469,0.00099469,0.00099469
9,408.223,1.7107,1.90559,1.58755,0.62514,0.65545,0.63446,0.32703,1.71685,1.5015,1.63531,0.000993068,0.000993068,0.000993068
10,448.398,1.69812,1.9259,1.59566,0.62485,0.58341,0.58228,0.2945,1.67903,1.58377,1.61369,0.000991232,0.000991232,0.000991232
11,488.08,1.6895,1.8778,1.58119,0.56298,0.60103,0.57452,0.29318,1.75741,1.62374,1.61884,0.000989183,0.000989183,0.000989183
12,527.95,1.68245,1.81122,1.57811,0.53335,0.62486,0.58774,0.30364,1.69836,1.57028,1.62225,0.000986922,0.000986922,0.000986922
13,566.579,1.648,1.82035,1.56818,0.57897,0.66174,0.60795,0.30497,1.68124,1.53439,1.64255,0.000984449,0.000984449,0.000984449
14,605.427,1.6638,1.76719,1.54117,0.52769,0.60663,0.62308,0.31918,1.67852,1.52161,1.58202,0.000981765,0.000981765,0.000981765
15,643.765,1.64609,1.7566,1.55071,0.59842,0.62946,0.62373,0.324,1.65551,1.59965,1.60834,0.000978873,0.000978873,0.000978873
16,682.808,1.64186,1.74251,1.5264,0.55509,0.60913,0.60762,0.31035,1.68724,1.55768,1.5874,0.000975773,0.000975773,0.000975773
17,721.473,1.6379,1.74584,1.54302,0.59715,0.66493,0.6493,0.33313,1.65959,1.47975,1.58471,0.000972466,0.000972466,0.000972466
18,762.986,1.6254,1.68453,1.51016,0.59907,0.61495,0.62602,0.31702,1.67084,1.46923,1.58101,0.000968955,0.000968955,0.000968955
19,805.244,1.63252,1.7224,1.53155,0.5901,0.67426,0.62858,0.32261,1.70967,1.43267,1.61823,0.000965239,0.000965239,0.000965239
20,844.475,1.62375,1.6802,1.52647,0.63746,0.61999,0.6635,0.32566,1.74836,1.48221,1.63908,0.000961322,0.000961322,0.000961322
21,884.267,1.6032,1.6694,1.51462,0.59294,0.72044,0.68673,0.34924,1.63578,1.33569,1.57573,0.000957205,0.000957205,0.000957205
22,924.182,1.58874,1.63042,1.50091,0.57531,0.68457,0.65977,0.33749,1.6647,1.351,1.59101,0.000952889,0.000952889,0.000952889
23,962.908,1.58188,1.62437,1.49759,0.57656,0.71971,0.66532,0.34628,1.67026,1.33603,1.58072,0.000948377,0.000948377,0.000948377
24,1002.54,1.60485,1.57528,1.50713,0.64456,0.70419,0.6817,0.35373,1.63909,1.34417,1.57059,0.000943671,0.000943671,0.000943671
25,1041.98,1.57442,1.60342,1.49183,0.63642,0.69937,0.67191,0.36189,1.61102,1.27983,1.53397,0.000938772,0.000938772,0.000938772
26,1081.34,1.57382,1.58273,1.48966,0.64334,0.66353,0.68709,0.38017,1.56513,1.34823,1.51144,0.000933683,0.000933683,0.000933683
27,1121.02,1.55928,1.55395,1.48417,0.60344,0.70299,0.66742,0.33503,1.75454,1.36023,1.64422,0.000928405,0.000928405,0.000928405
28,1160.98,1.56584,1.54438,1.47869,0.62776,0.70732,0.68563,0.36219,1.66367,1.25164,1.57207,0.000922942,0.000922942,0.000922942
29,1200.69,1.55789,1.54366,1.47363,0.62591,0.68478,0.67506,0.36015,1.6126,1.33278,1.52221,0.000917296,0.000917296,0.000917296
30,1244.36,1.55969,1.53733,1.48165,0.6188,0.69081,0.67186,0.3535,1.64546,1.30257,1.57365,0.000911469,0.000911469,0.000911469
31,1285.66,1.55813,1.51343,1.47175,0.62207,0.68332,0.64693,0.32959,1.66971,1.41832,1.57798,0.000905463,0.000905463,0.000905463
32,1324.34,1.53887,1.48964,1.45589,0.62223,0.71661,0.70566,0.37902,1.63773,1.37747,1.53433,0.000899282,0.000899282,0.000899282
33,1363.11,1.53273,1.5092,1.45061,0.59973,0.73583,0.68615,0.34967,1.65948,1.36353,1.56192,0.000892928,0.000892928,0.000892928
34,1401.37,1.54089,1.48451,1.45967,0.64864,0.70339,0.71834,0.37146,1.62874,1.34774,1.54901,0.000886404,0.000886404,0.000886404
35,1440.02,1.52593,1.47142,1.44714,0.63436,0.6875,0.70372,0.36825,1.63649,1.26089,1.52993,0.000879713,0.000879713,0.000879713
36,1478.45,1.51905,1.46401,1.45245,0.63539,0.71661,0.69949,0.37475,1.59313,1.29789,1.53557,0.000872857,0.000872857,0.000872857
37,1516.96,1.52818,1.4475,1.45098,0.62412,0.7387,0.6923,0.36555,1.59215,1.28538,1.52287,0.000865839,0.000865839,0.000865839
38,1555.21,1.51618,1.45402,1.43637,0.64363,0.72975,0.71022,0.37595,1.61963,1.3177,1.53133,0.000858664,0.000858664,0.000858664
39,1593.55,1.50239,1.4208,1.42364,0.66117,0.68565,0.69324,0.38093,1.56719,1.24733,1.50731,0.000851333,0.000851333,0.000851333
40,1632.74,1.52669,1.43177,1.4319,0.60337,0.67957,0.68479,0.36987,1.59966,1.38964,1.5306,0.000843851,0.000843851,0.000843851
41,1671.08,1.48913,1.4172,1.41373,0.61673,0.69623,0.69803,0.37129,1.61176,1.27883,1.52968,0.00083622,0.00083622,0.00083622
42,1709.75,1.49401,1.4065,1.41627,0.63162,0.69672,0.69125,0.37036,1.61134,1.32438,1.53641,0.000828443,0.000828443,0.000828443
43,1748.19,1.49849,1.38127,1.42356,0.68021,0.71833,0.73922,0.39162,1.58855,1.17019,1.51181,0.000820525,0.000820525,0.000820525
44,1787.43,1.49553,1.42648,1.4299,0.61474,0.72401,0.68745,0.37137,1.64836,1.25094,1.5524,0.000812468,0.000812468,0.000812468
45,1826.63,1.46988,1.35449,1.40638,0.60697,0.7395,0.69647,0.37351,1.58534,1.23589,1.48971,0.000804277,0.000804277,0.000804277
46,1865.18,1.48599,1.36063,1.39107,0.63783,0.73793,0.72618,0.39913,1.56324,1.15871,1.48544,0.000795954,0.000795954,0.000795954
47,1906.85,1.49146,1.37264,1.41476,0.64673,0.7235,0.69768,0.37238,1.60911,1.37127,1.52358,0.000787503,0.000787503,0.000787503
48,1946.58,1.46409,1.3447,1.39212,0.64589,0.73838,0.69305,0.37261,1.61792,1.2908,1.52836,0.000778929,0.000778929,0.000778929
49,1985.92,1.45857,1.33776,1.39151,0.68731,0.67357,0.73147,0.39813,1.59787,1.26663,1.5249,0.000770234,0.000770234,0.000770234
50,2025.29,1.46368,1.33899,1.40628,0.68375,0.70091,0.72699,0.39681,1.59147,1.21508,1.5027,0.000761423,0.000761423,0.000761423
51,2064.54,1.44529,1.31958,1.39427,0.70484,0.70874,0.73053,0.38054,1.6315,1.14268,1.53276,0.0007525,0.0007525,0.0007525
